county,cases,deaths
Alcona,1,0
Alger,0,0
Allegan,25,0
Alpena,2,0
Antrim,9,0
Arenac,7,0
Baraga,1,0
Barry,20,1
Bay,67,2
Benzie,0,0
Berrien,133,7
Branch,31,2
Calhoun,119,4
Cass,19,1
Charlevoix,11,1
Cheboygan,12,1
Chippewa,0,0
Clare,7,1
Clinton,102,6
Crawford,18,1
Delta,10,1
Dickinson,3,2
Eaton,84,5
Emmet,21,2
Genesee,1147,99
Gladwin,8,0
Gogebic,4,1
Grand Traverse,17,3
Gratiot,7,0
Hillsdale,84,9
Houghton,2,0
Huron,8,0
Ingham,278,6
Ionia,20,2
Iosco,6,1
Iron,0,0
Isabella,45,5
Jackson,209,8
Kalamazoo,118,8
Kalkaska,17,2
Kent,385,17
Keweenaw,0,0
Lake,2,0
Lapeer,131,13
Leelanau,6,0
Lenawee,59,0
Livingston,263,9
Luce,1,0
Mackinac,4,0
Macomb,3992,354
Manistee,11,0
Marquette,27,5
Mason,4,0
Mecosta,11,1
Menominee,1,0
Midland,41,1
Missaukee,3,1
Monroe,217,10
Montcalm,23,1
Montmorency,2,0
Muskegon,110,5
Newaygo,7,0
Oakland,5778,420
Oceana,3,1
Ogemaw,5,0
Ontonagon,0,0
Osceola,6,0
Oscoda,4,0
Otsego,44,2
Ottawa,82,2
Presque Isle,2,0
Roscommon,9,0
Saginaw,349,20
St. Clair,0,0
St. Joseph,0,0
Sanilac,25,2
Schoolcraft,3,0
Shiawassee,70,2
Tuscola,50,10
Van Buren,26,2
Washtenaw,826,25
Wayne,13002,981
Wexford,7,1
